Número de operación,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Comisión USD,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
163,Salida en largo,2025-02-03 15:30,Cierre EOD,697.08,3,2081.22,8.02,0.39,2,29.78,1.43,-31.36,-1.51,-1163.19,-11.63,12
163,Entrada en largo,2025-02-03 09:30,Long Fade,693.74,3,2081.22,8.02,0.39,2,29.78,1.43,-31.36,-1.51,-1163.19,-11.63,12
164,Salida en largo,2025-02-19 15:30,Cierre EOD,703.62,3,2104.5,4.36,0.21,2,14,0.66,-19.45,-0.92,-1158.83,-11.59,12
164,Entrada en largo,2025-02-19 09:30,Long Fade,701.5,3,2104.5,4.36,0.21,2,14,0.66,-19.45,-0.92,-1158.83,-11.59,12
165,Salida en largo,2025-03-10 15:30,Cierre EOD,598.16,3,1815.66,-23.18,-1.28,2,0,0.00,-55.72,-3.07,-1182.01,-11.82,12
165,Entrada en largo,2025-03-10 09:30,Long Fade,605.22,3,1815.66,-23.18,-1.28,2,0,0.00,-55.72,-3.07,-1182.01,-11.82,12
166,Salida en largo,2025-03-31 15:30,Cierre EOD,576.48,3,1682.04,45.4,2.70,2,53.06,3.15,-5.98,-0.36,-1136.61,-11.37,12
166,Entrada en largo,2025-03-31 09:30,Long Fade,560.68,3,1682.04,45.4,2.70,2,53.06,3.15,-5.98,-0.36,-1136.61,-11.37,12
167,Salida en largo,2025-04-02 15:30,Cierre EOD,583.94,3,1758.51,-8.69,-0.49,2,18.44,1.05,-28.78,-1.64,-1145.3,-11.45,12
167,Entrada en largo,2025-04-02 09:30,Long Fade,586.17,3,1758.51,-8.69,-0.49,2,18.44,1.05,-28.78,-1.64,-1145.3,-11.45,12
168,Salida en largo,2025-04-03 15:30,Cierre EOD,531.43,4,2175.28,-51.56,-2.37,2,33.88,1.56,-55.08,-2.53,-1196.86,-11.97,12
168,Entrada en largo,2025-04-03 09:30,Long Fade,543.82,4,2175.28,-51.56,-2.37,2,33.88,1.56,-55.08,-2.53,-1196.86,-11.97,12
169,Salida en largo,2025-04-04 15:30,Cierre EOD,504.98,4,2064.12,-46.2,-2.24,2,5,0.24,-87.56,-4.24,-1243.06,-12.43,12
169,Entrada en largo,2025-04-04 09:30,Long Fade,516.03,4,2064.12,-46.2,-2.24,2,5,0.24,-87.56,-4.24,-1243.06,-12.43,12
170,Salida en largo,2025-04-07 15:30,Cierre EOD,516.35,4,1992.08,71.32,3.58,2,164.6,8.26,-7.44,-0.37,-1171.74,-11.72,12
170,Entrada en largo,2025-04-07 09:30,Long Fade,498.02,4,1992.08,71.32,3.58,2,164.6,8.26,-7.44,-0.37,-1171.74,-11.72,12
171,Salida en largo,2025-04-30 15:30,Cierre EOD,546.43,4,2127.16,56.56,2.66,2,67.84,3.19,-3.84,-0.18,-1115.18,-11.15,12
171,Entrada en largo,2025-04-30 09:30,Long Fade,531.79,4,2127.16,56.56,2.66,2,67.84,3.19,-3.84,-0.18,-1115.18,-11.15,12
172,Salida en largo,2025-05-19 15:30,Cierre EOD,640.4,3,1911.96,7.24,0.38,2,16.04,0.84,-1.48,-0.08,-1107.94,-11.08,12
172,Entrada en largo,2025-05-19 09:30,Long Fade,637.32,3,1911.96,7.24,0.38,2,16.04,0.84,-1.48,-0.08,-1107.94,-11.08,12
173,Salida en largo,2025-05-23 15:30,Cierre EOD,627.21,3,1879.95,-0.32,-0.02,2,16.37,0.87,-4.21,-0.22,-1108.26,-11.08,12
173,Entrada en largo,2025-05-23 09:30,Long Fade,626.65,3,1879.95,-0.32,-0.02,2,16.37,0.87,-4.21,-0.22,-1108.26,-11.08,12
174,Salida en largo,2025-08-01 15:30,Cierre EOD,749.99,2,1507.02,-9.04,-0.60,2,10.98,0.73,-17.4,-1.15,-1117.3,-11.17,12
174,Entrada en largo,2025-08-01 09:30,Long Fade,753.51,2,1507.02,-9.04,-0.60,2,10.98,0.73,-17.4,-1.15,-1117.3,-11.17,12
175,Salida en largo,2025-08-18 15:30,Cierre EOD,767.31,2,1521.46,11.16,0.73,2,20.52,1.35,-1.96,-0.13,-1106.14,-11.06,12
175,Entrada en largo,2025-08-18 09:30,Long Fade,760.73,2,1521.46,11.16,0.73,2,20.52,1.35,-1.96,-0.13,-1106.14,-11.06,12
176,Salida en largo,2025-09-02 15:30,Cierre EOD,735.16,3,2195.04,8.44,0.38,2,11.96,0.54,-20.95,-0.95,-1097.7,-10.98,12
176,Entrada en largo,2025-09-02 09:30,Long Fade,731.68,3,2195.04,8.44,0.38,2,11.96,0.54,-20.95,-0.95,-1097.7,-10.98,12
177,Salida en largo,2025-10-01 15:30,Cierre EOD,717.44,3,2136.66,13.66,0.64,2,26.54,1.24,-6.97,-0.33,-1084.04,-10.84,12
177,Entrada en largo,2025-10-01 09:30,Long Fade,712.22,3,2136.66,13.66,0.64,2,26.54,1.24,-6.97,-0.33,-1084.04,-10.84,12
178,Salida en largo,2025-10-30 15:30,Cierre EOD,666.09,3,1997.76,-1.49,-0.07,2,43.94,2.20,-41.32,-2.07,-1085.53,-10.86,12
178,Entrada en largo,2025-10-30 09:30,Long Fade,665.92,3,1997.76,-1.49,-0.07,2,43.94,2.20,-41.32,-2.07,-1085.53,-10.86,12
179,Salida en largo,2025-11-18 15:30,Cierre EOD,597.56,3,1760.85,29.83,1.69,2,48.95,2.78,-10.45,-0.59,-1055.7,-10.56,12
179,Entrada en largo,2025-11-18 09:30,Long Fade,586.95,3,1760.85,29.83,1.69,2,48.95,2.78,-10.45,-0.59,-1055.7,-10.56,12
180,Salida en largo,2026-01-20 15:30,Cierre EOD,604.74,3,1821.06,-8.84,-0.49,2,11.96,0.66,-15.4,-0.85,-1064.54,-10.65,12
180,Entrada en largo,2026-01-20 09:30,Long Fade,607.02,3,1821.06,-8.84,-0.49,2,11.96,0.66,-15.4,-0.85,-1064.54,-10.65,12
181,Salida en largo,2026-02-27 15:30,Cierre EOD,648.15,3,1942.23,0.22,0.01,2,4.04,0.21,-28.87,-1.49,-1064.32,-10.64,12
181,Entrada en largo,2026-02-27 09:30,Long Fade,647.41,3,1942.23,0.22,0.01,2,4.04,0.21,-28.87,-1.49,-1064.32,-10.64,12
182,Salida en largo,2026-03-02 15:30,Cierre EOD,653.57,3,1945.71,13,0.67,2,33.08,1.70,-9.16,-0.47,-1051.32,-10.51,12
182,Entrada en largo,2026-03-02 09:30,Long Fade,648.57,3,1945.71,13,0.67,2,33.08,1.70,-9.16,-0.47,-1051.32,-10.51,12
183,Salida en largo,2026-03-06 15:30,Cierre EOD,644.81,3,1921.29,11.14,0.58,2,26.12,1.36,-2.89,-0.15,-1040.18,-10.40,12
183,Entrada en largo,2026-03-06 09:30,Long Fade,640.43,3,1921.29,11.14,0.58,2,26.12,1.36,-2.89,-0.15,-1040.18,-10.40,12
184,Salida en largo,2026-03-09 15:30,Cierre EOD,647.33,3,1887.48,52.51,2.78,2,54.74,2.90,-6.43,-0.34,-987.67,-9.88,12
184,Entrada en largo,2026-03-09 09:30,Long Fade,629.16,3,1887.48,52.51,2.78,2,54.74,2.90,-6.43,-0.34,-987.67,-9.88,12
185,Salida en largo,2026-03-13 15:30,Cierre EOD,613.57,3,1876.05,-37.34,-1.99,2,10.34,0.55,-48.07,-2.56,-1025.01,-10.25,12
185,Entrada en largo,2026-03-13 09:30,Long Fade,625.35,3,1876.05,-37.34,-1.99,2,10.34,0.55,-48.07,-2.56,-1025.01,-10.25,12
186,Salida en largo,2026-03-26 15:30,Cierre EOD,547.22,3,1728.06,-88.4,-5.11,2,9.41,0.54,-98.86,-5.72,-1113.41,-11.13,12
186,Entrada en largo,2026-03-26 09:30,Long Fade,576.02,3,1728.06,-88.4,-5.11,2,9.41,0.54,-98.86,-5.72,-1113.41,-11.13,12
187,Salida en largo,2026-04-02 15:30,Cierre EOD,574.6,3,1702.08,19.72,1.16,2,32.6,1.91,-2.68,-0.16,-1093.69,-10.94,12
