Número de operación,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Comisión USD,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
18,Entrada en largo,2017-06-15 09:30,Long Fade,147.55,16,2360.8,33.84,1.43,2,38.68,1.64,-19.72,-0.83,-84.23,-0.84,12
19,Salida en largo,2017-08-29 15:30,Cierre EOD,168.03,14,2333.8,16.62,0.71,2,23.08,0.99,-2.96,-0.13,-67.61,-0.68,12
19,Entrada en largo,2017-08-29 09:30,Long Fade,166.7,14,2333.8,16.62,0.71,2,23.08,0.99,-2.96,-0.13,-67.61,-0.68,12
20,Salida en largo,2017-09-25 15:30,Cierre EOD,162.84,15,2467.2,-26.6,-1.08,2,17.3,0.70,-44.8,-1.82,-94.21,-0.94,12
20,Entrada en largo,2017-09-25 09:30,Long Fade,164.48,15,2467.2,-26.6,-1.08,2,17.3,0.70,-44.8,-1.82,-94.21,-0.94,12
21,Salida en largo,2017-10-19 15:30,Cierre EOD,174.54,14,2421.3,20.26,0.84,2,21.54,0.89,-3.24,-0.13,-73.95,-0.74,12
21,Entrada en largo,2017-10-19 09:30,Long Fade,172.95,14,2421.3,20.26,0.84,2,21.54,0.89,-3.24,-0.13,-73.95,-0.74,12
22,Salida en largo,2017-11-02 15:30,Cierre EOD,178.9,13,2342.34,-18.64,-0.80,2,1.21,0.05,-37.79,-1.61,-92.59,-0.93,12
22,Entrada en largo,2017-11-02 09:30,Long Fade,180.18,13,2342.34,-18.64,-0.80,2,1.21,0.05,-37.79,-1.61,-92.59,-0.93,12
23,Salida en largo,2017-11-15 15:30,Cierre EOD,177.94,13,2300.61,10.61,0.46,2,19.54,0.85,-2.3,-0.10,-81.98,-0.82,12
23,Entrada en largo,2017-11-15 09:30,Long Fade,176.97,13,2300.61,10.61,0.46,2,19.54,0.85,-2.3,-0.10,-81.98,-0.82,12
24,Salida en largo,2018-01-12 15:30,Cierre EOD,179.38,13,2347.67,-17.73,-0.75,2,10.18,0.43,-27.91,-1.19,-99.71,-1.00,12
24,Entrada en largo,2018-01-12 09:30,Long Fade,180.59,13,2347.67,-17.73,-0.75,2,10.18,0.43,-27.91,-1.19,-99.71,-1.00,12
25,Salida en largo,2018-01-30 15:30,Cierre EOD,187.01,13,2398.76,30.37,1.27,2,46.45,1.94,-10.23,-0.43,-69.34,-0.69,12
25,Entrada en largo,2018-01-30 09:30,Long Fade,184.52,13,2398.76,30.37,1.27,2,46.45,1.94,-10.23,-0.43,-69.34,-0.69,12
26,Salida en largo,2018-02-05 15:30,Cierre EOD,181.24,13,2459.21,-105.09,-4.27,2,17.59,0.71,-111.76,-4.54,-174.43,-1.74,12
26,Entrada en largo,2018-02-05 09:30,Long Fade,189.17,13,2459.21,-105.09,-4.27,2,17.59,0.71,-111.76,-4.54,-174.43,-1.74,12
27,Salida en largo,2018-02-06 15:30,Cierre EOD,185.34,13,2387.84,19.58,0.82,2,25,1.05,-64.44,-2.70,-154.85,-1.55,12
27,Entrada en largo,2018-02-06 09:30,Long Fade,183.68,13,2387.84,19.58,0.82,2,25,1.05,-64.44,-2.70,-154.85,-1.55,12
28,Salida en largo,2018-03-02 15:30,Cierre EOD,176.54,14,2438.94,30.62,1.25,2,39.6,1.62,-15.28,-0.63,-124.23,-1.24,12
28,Entrada en largo,2018-03-02 09:30,Long Fade,174.21,14,2438.94,30.62,1.25,2,39.6,1.62,-15.28,-0.63,-124.23,-1.24,12
29,Salida en largo,2018-03-19 15:30,Cierre EOD,172.55,14,2453.08,-39.38,-1.60,2,4.18,0.17,-73.1,-2.98,-163.61,-1.64,12
29,Entrada en largo,2018-03-19 09:30,Long Fade,175.22,14,2453.08,-39.38,-1.60,2,4.18,0.17,-73.1,-2.98,-163.61,-1.64,12
30,Salida en largo,2018-03-20 15:30,Cierre EOD,168.17,14,2367.4,-15.02,-0.63,2,6,0.25,-100.96,-4.26,-178.63,-1.79,12
30,Entrada en largo,2018-03-20 09:30,Long Fade,169.1,14,2367.4,-15.02,-0.63,2,6,0.25,-100.96,-4.26,-178.63,-1.79,12
31,Salida en largo,2018-03-21 15:30,Cierre EOD,169.45,14,2303.42,66.88,2.90,2,123.04,5.34,-2.12,-0.09,-111.75,-1.12,12
31,Entrada en largo,2018-03-21 09:30,Long Fade,164.53,14,2303.42,66.88,2.90,2,123.04,5.34,-2.12,-0.09,-111.75,-1.12,12
32,Salida en largo,2018-03-22 15:30,Cierre EOD,164.85,14,2355.92,-50.02,-2.12,2,26.86,1.14,-64.42,-2.73,-161.77,-1.62,12
32,Entrada en largo,2018-03-22 09:30,Long Fade,168.28,14,2355.92,-50.02,-2.12,2,26.86,1.14,-64.42,-2.73,-161.77,-1.62,12
33,Salida en largo,2018-03-27 15:30,Cierre EOD,152.2,15,2424.3,-143.3,-5.91,2,17.3,0.71,-163.9,-6.76,-305.07,-3.05,12
33,Entrada en largo,2018-03-27 09:30,Long Fade,161.62,15,2424.3,-143.3,-5.91,2,17.3,0.71,-163.9,-6.76,-305.07,-3.05,12
34,Salida en largo,2018-04-04 15:30,Cierre EOD,155.01,15,2286,37.15,1.62,2,46.25,2.02,-29.35,-1.28,-267.92,-2.68,12
34,Entrada en largo,2018-04-04 09:30,Long Fade,152.4,15,2286,37.15,1.62,2,46.25,2.02,-29.35,-1.28,-267.92,-2.68,12
35,Salida en largo,2018-06-04 15:30,Cierre EOD,193.24,12,2304.48,12.4,0.54,2,22.28,0.97,-6.4,-0.28,-255.52,-2.56,12
35,Entrada en largo,2018-06-04 09:30,Long Fade,192.04,12,2304.48,12.4,0.54,2,22.28,0.97,-6.4,-0.28,-255.52,-2.56,12
36,Salida en largo,2018-06-06 15:30,Cierre EOD,191.4,12,2282.16,12.64,0.55,2,15.2,0.67,-13.72,-0.60,-242.88,-2.43,12
36,Entrada en largo,2018-06-06 09:30,Long Fade,190.18,12,2282.16,12.64,0.55,2,15.2,0.67,-13.72,-0.60,-242.88,-2.43,12
37,Salida en largo,2018-06-19 15:30,Cierre EOD,197.44,12,2339.88,27.4,1.17,2,34.64,1.48,-15.28,-0.65,-215.48,-2.15,12
37,Entrada en largo,2018-06-19 09:30,Long Fade,194.99,12,2339.88,27.4,1.17,2,34.64,1.48,-15.28,-0.65,-215.48,-2.15,12
38,Salida en largo,2018-07-05 15:30,Cierre EOD,198.45,12,2321.88,57.52,2.48,2,60.8,2.62,-12.52,-0.54,-157.96,-1.58,19
38,Entrada en largo,2018-07-03 09:30,Long Fade,193.49,12,2321.88,57.52,2.48,2,60.8,2.62,-12.52,-0.54,-157.96,-1.58,19
39,Salida en largo,2018-07-17 15:30,Cierre EOD,209.96,11,2277.11,30.45,1.34,2,36.95,1.62,-2.98,-0.13,-127.51,-1.28,12
39,Entrada en largo,2018-07-17 09:30,Long Fade,207.01,11,2277.11,30.45,1.34,2,36.95,1.62,-2.98,-0.13,-127.51,-1.28,12
40,Salida en largo,2018-07-26 15:30,Cierre EOD,176.25,13,2296.71,-7.46,-0.32,2,27.6,1.20,-38.83,-1.69,-134.97,-1.35,12
40,Entrada en largo,2018-07-26 09:30,Long Fade,176.67,13,2296.71,-7.46,-0.32,2,27.6,1.20,-38.83,-1.69,-134.97,-1.35,12
41,Salida en largo,2018-09-04 15:30,Cierre EOD,171.14,14,2385.6,8.36,0.35,2,24.34,1.02,-5.48,-0.23,-126.61,-1.27,12
41,Entrada en largo,2018-09-04 09:30,Long Fade,170.4,14,2385.6,8.36,0.35,2,24.34,1.02,-5.48,-0.23,-126.61,-1.27,12
42,Salida en largo,2018-09-05 15:30,Cierre EOD,167.19,14,2373.14,-34.48,-1.45,2,4.18,0.18,-40.76,-1.72,-161.09,-1.61,12
42,Entrada en largo,2018-09-05 09:30,Long Fade,169.51,14,2373.14,-34.48,-1.45,2,4.18,0.18,-40.76,-1.72,-161.09,-1.61,12
43,Salida en largo,2018-09-12 15:30,Cierre EOD,161.97,15,2447.4,-19.85,-0.81,2,3.35,0.14,-21.4,-0.87,-180.94,-1.81,12
43,Entrada en largo,2018-09-12 09:30,Long Fade,163.16,15,2447.4,-19.85,-0.81,2,3.35,0.14,-21.4,-0.87,-180.94,-1.81,12
44,Salida en largo,2018-09-25 15:30,Cierre EOD,164.89,15,2425.05,46.3,1.91,2,57.8,2.38,-5.35,-0.22,-134.64,-1.35,12
44,Entrada en largo,2018-09-25 09:30,Long Fade,161.67,15,2425.05,46.3,1.91,2,57.8,2.38,-5.35,-0.22,-134.64,-1.35,12
45,Salida en largo,2018-10-23 15:30,Cierre EOD,154.36,16,2440.8,26.96,1.10,2,34.04,1.39,-27.88,-1.14,-107.68,-1.08,12
45,Entrada en largo,2018-10-23 09:30,Long Fade,152.55,16,2440.8,26.96,1.10,2,34.04,1.39,-27.88,-1.14,-107.68,-1.08,12
46,Salida en largo,2018-10-26 15:30,Cierre EOD,145.33,16,2356.48,-33.2,-1.41,2,26.36,1.12,-55.88,-2.37,-140.88,-1.41,12
46,Entrada en largo,2018-10-26 09:30,Long Fade,147.28,16,2356.48,-33.2,-1.41,2,26.36,1.12,-55.88,-2.37,-140.88,-1.41,12
47,Salida en largo,2018-11-16 15:30,Cierre EOD,139.53,17,2376.26,-6.25,-0.26,2,19.91,0.84,-35.17,-1.48,-147.13,-1.47,12
47,Entrada en largo,2018-11-16 09:30,Long Fade,139.78,17,2376.26,-6.25,-0.26,2,19.91,0.84,-35.17,-1.48,-147.13,-1.47,12
48,Salida en largo,2018-11-20 15:30,Cierre EOD,132.42,18,2350.26,31.3,1.33,2,63.44,2.70,-19.36,-0.82,-115.83,-1.16,12
48,Entrada en largo,2018-11-20 09:30,Long Fade,130.57,18,2350.26,31.3,1.33,2,63.44,2.70,-19.36,-0.82,-115.83,-1.16,12
49,Salida en largo,2018-12-06 15:30,Cierre EOD,139.56,18,2415.24,94.84,3.93,2,98.18,4.06,-5.86,-0.24,-20.99,-0.21,12
49,Entrada en largo,2018-12-06 09:30,Long Fade,134.18,18,2415.24,94.84,3.93,2,98.18,4.06,-5.86,-0.24,-20.99,-0.21,12
50,Salida en largo,2018-12-19 15:30,Cierre EOD,133.16,17,2457.18,-195.46,-7.95,2,3.42,0.14,-205.51,-8.36,-216.45,-2.16,12
50,Entrada en largo,2018-12-19 09:30,Long Fade,144.54,17,2457.18,-195.46,-7.95,2,3.42,0.14,-205.51,-8.36,-216.45,-2.16,12
51,Salida en largo,2018-12-20 15:30,Cierre EOD,133.41,18,2433.06,-33.68,-1.38,2,5.66,0.23,-64.54,-2.65,-250.13,-2.50,12
51,Entrada en largo,2018-12-20 09:30,Long Fade,135.17,18,2433.06,-33.68,-1.38,2,5.66,0.23,-64.54,-2.65,-250.13,-2.50,12
52,Salida en largo,2019-03-08 15:30,Cierre EOD,169.59,14,2347.52,24.74,1.05,2,26.02,1.11,-8.98,-0.38,-225.39,-2.25,12
52,Entrada en largo,2019-03-08 09:30,Long Fade,167.68,14,2347.52,24.74,1.05,2,26.02,1.11,-8.98,-0.38,-225.39,-2.25,12
53,Salida en largo,2019-03-14 15:30,Cierre EOD,170.23,14,2376.5,4.72,0.20,2,18.46,0.78,-10.8,-0.45,-220.67,-2.21,12
53,Entrada en largo,2019-03-14 09:30,Long Fade,169.75,14,2376.5,4.72,0.20,2,18.46,0.78,-10.8,-0.45,-220.67,-2.21,12
54,Salida en largo,2019-03-15 15:30,Cierre EOD,166.01,14,2296,26.14,1.14,2,36.66,1.60,-21.72,-0.95,-194.53,-1.95,12
54,Entrada en largo,2019-03-15 09:30,Long Fade,164,14,2296,26.14,1.14,2,36.66,1.60,-21.72,-0.95,-194.53,-1.95,12
55,Salida en largo,2019-03-18 15:30,Cierre EOD,160.43,15,2432.55,-28.1,-1.15,2,15.5,0.64,-44.05,-1.81,-222.63,-2.23,12
55,Entrada en largo,2019-03-18 09:30,Long Fade,162.17,15,2432.55,-28.1,-1.15,2,15.5,0.64,-44.05,-1.81,-222.63,-2.23,12
56,Salida en largo,2019-05-06 15:30,Cierre EOD,193.83,12,2320.56,3.4,0.15,2,9.68,0.42,-15.64,-0.67,-219.23,-2.19,12
56,Entrada en largo,2019-05-06 09:30,Long Fade,193.38,12,2320.56,3.4,0.15,2,9.68,0.42,-15.64,-0.67,-219.23,-2.19,12
57,Salida en largo,2019-05-09 15:30,Cierre EOD,188.67,12,2262.84,-0.8,-0.04,2,13.16,0.58,-23.68,-1.05,-220.03,-2.20,12
57,Entrada en largo,2019-05-09 09:30,Long Fade,188.57,12,2262.84,-0.8,-0.04,2,13.16,0.58,-23.68,-1.05,-220.03,-2.20,12
58,Salida en largo,2019-05-13 15:30,Cierre EOD,181.46,13,2388.36,-31.38,-1.31,2,15.38,0.64,-38.44,-1.61,-251.41,-2.51,12
58,Entrada en largo,2019-05-13 09:30,Long Fade,183.72,13,2388.36,-31.38,-1.31,2,15.38,0.64,-38.44,-1.61,-251.41,-2.51,12
59,Salida en largo,2019-05-20 15:30,Cierre EOD,182.66,13,2378.48,-5.9,-0.25,2,15.12,0.64,-13.35,-0.56,-257.31,-2.57,12
59,Entrada en largo,2019-05-20 09:30,Long Fade,182.96,13,2378.48,-5.9,-0.25,2,15.12,0.64,-13.35,-0.56,-257.31,-2.57,12
60,Salida en largo,2019-05-23 15:30,Cierre EOD,180.88,13,2378.35,-28.91,-1.22,2,4.07,0.17,-43.64,-1.83,-286.22,-2.86,12
60,Entrada en largo,2019-05-23 09:30,Long Fade,182.95,13,2378.35,-28.91,-1.22,2,4.07,0.17,-43.64,-1.83,-286.22,-2.86,12
61,Salida en largo,2019-05-31 15:30,Cierre EOD,177.39,13,2323.88,-19.81,-0.85,2,5.76,0.25,-21.67,-0.93,-306.03,-3.06,12
61,Entrada en largo,2019-05-31 09:30,Long Fade,178.76,13,2323.88,-19.81,-0.85,2,5.76,0.25,-21.67,-0.93,-306.03,-3.06,12
62,Salida en largo,2019-06-03 15:30,Cierre EOD,163.99,14,2386.72,-92.86,-3.89,2,16.92,0.71,-133.44,-5.59,-398.89,-3.99,12
62,Entrada en largo,2019-06-03 09:30,Long Fade,170.48,14,2386.72,-92.86,-3.89,2,16.92,0.71,-133.44,-5.59,-398.89,-3.99,12
63,Salida en largo,2019-07-24 15:30,Cierre EOD,204.64,12,2389.68,64,2.68,2,67.04,2.80,-1.24,-0.05,-334.89,-3.35,12
63,Entrada en largo,2019-07-24 09:30,Long Fade,199.14,12,2389.68,64,2.68,2,67.04,2.80,-1.24,-0.05,-334.89,-3.35,12
64,Salida en largo,2019-08-05 15:30,Cierre EOD,181.69,13,2402.27,-42.3,-1.76,2,0,0.00,-71.72,-2.98,-377.19,-3.77,12
64,Entrada en largo,2019-08-05 09:30,Long Fade,184.79,13,2402.27,-42.3,-1.76,2,0,0.00,-71.72,-2.98,-377.19,-3.77,12
65,Salida en largo,2019-08-14 15:30,Cierre EOD,179.7,12,2220.6,-66.2,-2.98,2,0.32,0.01,-69.52,-3.13,-443.39,-4.43,12
65,Entrada en largo,2019-08-14 09:30,Long Fade,185.05,12,2220.6,-66.2,-2.98,2,0.32,0.01,-69.52,-3.13,-443.39,-4.43,12
66,Salida en largo,2019-12-03 15:30,Cierre EOD,198.8,12,2357.4,26.2,1.11,2,28.76,1.22,-7.96,-0.34,-417.19,-4.17,12
66,Entrada en largo,2019-12-03 09:30,Long Fade,196.45,12,2357.4,26.2,1.11,2,28.76,1.22,-7.96,-0.34,-417.19,-4.17,12
67,Salida en largo,2020-01-03 15:30,Cierre EOD,208.53,11,2295.26,-3.43,-0.15,2,18.14,0.79,-8.15,-0.35,-420.62,-4.21,12
67,Entrada en largo,2020-01-03 09:30,Long Fade,208.66,11,2295.26,-3.43,-0.15,2,18.14,0.79,-8.15,-0.35,-420.62,-4.21,12
68,Salida en largo,2020-01-06 15:30,Cierre EOD,212.55,11,2309.56,26.49,1.15,2,30.02,1.30,-5.07,-0.22,-394.13,-3.94,12
68,Entrada en largo,2020-01-06 09:30,Long Fade,209.96,11,2309.56,26.49,1.15,2,30.02,1.30,-5.07,-0.22,-394.13,-3.94,12
69,Salida en largo,2020-01-27 15:30,Cierre EOD,214.89,11,2374.46,-12.67,-0.53,2,0,0.00,-20.25,-0.85,-406.8,-4.07,12
69,Entrada en largo,2020-01-27 09:30,Long Fade,215.86,11,2374.46,-12.67,-0.53,2,0,0.00,-20.25,-0.85,-406.8,-4.07,12
70,Salida en largo,2020-01-30 15:30,Cierre EOD,209.53,11,2313.41,-10.58,-0.46,2,11.21,0.48,-31.91,-1.38,-417.38,-4.17,12
70,Entrada en largo,2020-01-30 09:30,Long Fade,210.31,11,2313.41,-10.58,-0.46,2,11.21,0.48,-31.91,-1.38,-417.38,-4.17,12
71,Salida en largo,2020-02-11 15:30,Cierre EOD,207.13,11,2296.14,-19.71,-0.86,2,22.21,0.97,-25.42,-1.11,-437.09,-4.37,12
71,Entrada en largo,2020-02-11 09:30,Long Fade,208.74,11,2296.14,-19.71,-0.86,2,22.21,0.97,-25.42,-1.11,-437.09,-4.37,12
72,Salida en largo,2020-02-24 15:30,Cierre EOD,200.76,11,2226.84,-20.48,-0.92,2,5.71,0.26,-47.64,-2.14,-457.57,-4.58,12
72,Entrada en largo,2020-02-24 09:30,Long Fade,202.44,11,2226.84,-20.48,-0.92,2,5.71,0.26,-47.64,-2.14,-457.57,-4.58,12
73,Salida en largo,2020-02-27 15:30,Cierre EOD,189.69,12,2309.64,-35.36,-1.53,2,38.36,1.66,-34.36,-1.49,-492.93,-4.93,12
73,Entrada en largo,2020-02-27 09:30,Long Fade,192.47,12,2309.64,-35.36,-1.53,2,38.36,1.66,-34.36,-1.49,-492.93,-4.93,12
74,Salida en largo,2020-02-28 15:30,Cierre EOD,192.67,12,2250,60.04,2.67,2,61.28,2.72,-30.64,-1.36,-432.89,-4.33,12
74,Entrada en largo,2020-02-28 09:30,Long Fade,187.5,12,2250,60.04,2.67,2,61.28,2.72,-30.64,-1.36,-432.89,-4.33,12
75,Salida en largo,2020-03-05 15:30,Cierre EOD,185.01,12,2250.24,-32.12,-1.43,2,14.6,0.65,-44.44,-1.97,-465.01,-4.65,12
